,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
358,cloneA,1,812,15.15270329,13.95069885,0.002039577,,,,,,,,
359,cloneA,1,813,34.49433899,32.21745682,0.012497948,,,,,,,,
360,cloneA,1,816,8.868823051,8.868823051,0.006426683,,,,,,,,
361,cloneA,1,817,9.913104057,9.913104057,0.007183409,,,,,,,,
362,cloneA,1,818,38.95586777,35.53741455,0.004704815,,,,,,,,
363,cloneA,1,819,45.18119812,18.58929443,0.006755005,,,,,,,,
364,cloneA,1,822,55.3222084,54.36688232,0.01089223,,,,,,,,
365,cloneA,1,825,4.213500977,4.213500977,0.003053262,,,,,,,,
366,cloneA,1,826,79.14283752,17.98288727,0.006626005,,,,,,,,
367,cloneA,1,830,104.5481491,98.70592499,0.008337138,,,,,,,,
368,cloneA,1,831,11.51514244,3.584830523,0.004172153,,,,,,,,
369,cloneA,1,832,222.6067352,220.4111786,0.007219267,,,,,,,,
370,cloneA,1,833,3.090474367,3.090474367,0.002239474,,,,,,,,
371,cloneA,1,835,92.70220184,62.38452148,0.008007196,,,,,,,,
372,cloneA,1,836,10.90897655,10.90897655,0.007905056,,,,,,,,
